Source,district,month,year,visitors
foreign,Adilabad,February,2018,0
foreign,Adilabad,March,2018,0
foreign,Adilabad,April,2018,0
foreign,Adilabad,May,2018,0
foreign,Adilabad,June,2018,0
foreign,Adilabad,September,2018,0
foreign,Adilabad,October,2018,0
foreign,Adilabad,November,2018,0
foreign,Adilabad,December,2018,0
foreign,Adilabad,February,2016,0
foreign,Adilabad,April,2016,0
foreign,Adilabad,May,2016,0
foreign,Adilabad,June,2016,0
foreign,Adilabad,September,2016,0
foreign,Adilabad,October,2016,0
foreign,Adilabad,November,2016,0
foreign,Adilabad,December,2016,0
foreign,Adilabad,February,2017,0
foreign,Adilabad,March,2017,0
foreign,Adilabad,April,2017,0
foreign,Adilabad,May,2017,0
foreign,Adilabad,July,2017,0
foreign,Adilabad,August,2017,0
foreign,Adilabad,October,2017,0
foreign,Adilabad,November,2017,0
foreign,Adilabad,December,2017,0
foreign,Adilabad,January,2016,2
foreign,Adilabad,March,2016,2
foreign,Adilabad,July,2016,4
foreign,Adilabad,August,2016,2
foreign,Adilabad,January,2017,5
foreign,Adilabad,June,2017,3
foreign,Adilabad,September,2017,3
foreign,Adilabad,July,2018,2
foreign,Adilabad,August,2018,3
foreign,Adilabad,February,2019,2
foreign,Adilabad,August,2019,2
foreign,Adilabad,November,2019,2
domestic,Bhadradri Kothagudem,January,2016,450020
domestic,Bhadradri Kothagudem,February,2016,450020
domestic,Bhadradri Kothagudem,March,2016,450020
domestic,Bhadradri Kothagudem,April,2016,450020
domestic,Bhadradri Kothagudem,May,2016,450020
domestic,Bhadradri Kothagudem,June,2016,450020
domestic,Bhadradri Kothagudem,July,2016,450020
domestic,Bhadradri Kothagudem,August,2016,450020
domestic,Bhadradri Kothagudem,September,2016,450020
domestic,Bhadradri Kothagudem,October,2016,310133
domestic,Bhadradri Kothagudem,November,2016,252127
domestic,Bhadradri Kothagudem,December,2016,326770
domestic,Bhadradri Kothagudem,January,2017,302315
domestic,Bhadradri Kothagudem,February,2017,251359
domestic,Bhadradri Kothagudem,March,2017,243943
domestic,Bhadradri Kothagudem,April,2017,667459
domestic,Bhadradri Kothagudem,May,2017,311626
domestic,Bhadradri Kothagudem,June,2017,351742
domestic,Bhadradri Kothagudem,July,2017,258114
domestic,Bhadradri Kothagudem,August,2017,316438
domestic,Bhadradri Kothagudem,September,2017,381784
domestic,Bhadradri Kothagudem,October,2017,334504
domestic,Bhadradri Kothagudem,November,2017,281515
domestic,Bhadradri Kothagudem,December,2017,393518
domestic,Bhadradri Kothagudem,January,2018,421275
domestic,Bhadradri Kothagudem,February,2018,240634
domestic,Bhadradri Kothagudem,March,2018,421275
domestic,Bhadradri Kothagudem,April,2018,341258
domestic,Bhadradri Kothagudem,May,2018,291273
domestic,Bhadradri Kothagudem,June,2018,290512
domestic,Bhadradri Kothagudem,July,2018,220304
domestic,Bhadradri Kothagudem,August,2018,219548
domestic,Bhadradri Kothagudem,September,2018,334878
domestic,Bhadradri Kothagudem,October,2018,322974
domestic,Bhadradri Kothagudem,November,2018,253464
domestic,Bhadradri Kothagudem,December,2018,442483
domestic,Bhadradri Kothagudem,January,2019,283365
domestic,Bhadradri Kothagudem,February,2019,229159
domestic,Bhadradri Kothagudem,March,2019,225448
domestic,Bhadradri Kothagudem,April,2019,349585
domestic,Bhadradri Kothagudem,May,2019,275800
domestic,Bhadradri Kothagudem,June,2019,9761776
domestic,Bhadradri Kothagudem,July,2019,233338
domestic,Bhadradri Kothagudem,August,2019,271941
domestic,Bhadradri Kothagudem,September,2019,314199
domestic,Bhadradri Kothagudem,October,2019,287432
domestic,Bhadradri Kothagudem,November,2019,298366
domestic,Bhadradri Kothagudem,December,2019,287328
foreign,Bhadradri Kothagudem,January,2019,0
foreign,Bhadradri Kothagudem,February,2019,0
foreign,Bhadradri Kothagudem,March,2019,0
foreign,Bhadradri Kothagudem,April,2019,0
foreign,Bhadradri Kothagudem,May,2019,0
foreign,Bhadradri Kothagudem,June,2019,0
foreign,Bhadradri Kothagudem,July,2019,0
foreign,Bhadradri Kothagudem,August,2019,0
foreign,Bhadradri Kothagudem,September,2019,0
foreign,Bhadradri Kothagudem,October,2019,0
foreign,Bhadradri Kothagudem,November,2019,0
foreign,Bhadradri Kothagudem,December,2019,0
foreign,Bhadradri Kothagudem,January,2018,0
foreign,Bhadradri Kothagudem,February,2018,0
foreign,Bhadradri Kothagudem,March,2018,0
foreign,Bhadradri Kothagudem,April,2018,0
foreign,Bhadradri Kothagudem,May,2018,0
foreign,Bhadradri Kothagudem,June,2018,0
foreign,Bhadradri Kothagudem,July,2018,0
foreign,Bhadradri Kothagudem,August,2018,0
foreign,Bhadradri Kothagudem,September,2018,0
foreign,Bhadradri Kothagudem,October,2018,0
foreign,Bhadradri Kothagudem,November,2018,0
foreign,Bhadradri Kothagudem,December,2018,0
foreign,Bhadradri Kothagudem,October,2016,0
foreign,Bhadradri Kothagudem,November,2016,0
foreign,Bhadradri Kothagudem,December,2016,0
foreign,Bhadradri Kothagudem,January,2016,0
foreign,Bhadradri Kothagudem,February,2016,0
foreign,Bhadradri Kothagudem,March,2016,0
foreign,Bhadradri Kothagudem,April,2016,0
foreign,Bhadradri Kothagudem,May,2016,0
foreign,Bhadradri Kothagudem,June,2016,0
foreign,Bhadradri Kothagudem,July,2016,0
foreign,Bhadradri Kothagudem,August,2016,0
foreign,Bhadradri Kothagudem,September,2016,0
foreign,Bhadradri Kothagudem,January,2017,0
foreign,Bhadradri Kothagudem,February,2017,0
foreign,Bhadradri Kothagudem,March,2017,0
foreign,Bhadradri Kothagudem,April,2017,0
foreign,Bhadradri Kothagudem,May,2017,0
foreign,Bhadradri Kothagudem,June,2017,0
foreign,Bhadradri Kothagudem,July,2017,0
foreign,Bhadradri Kothagudem,August,2017,0
foreign,Bhadradri Kothagudem,September,2017,0
foreign,Bhadradri Kothagudem,October,2017,0
foreign,Bhadradri Kothagudem,November,2017,0
foreign,Bhadradri Kothagudem,December,2017,0
domestic,Hyderabad,January,2016,1122510
domestic,Hyderabad,February,2016,778748
domestic,Hyderabad,March,2016,1017794
domestic,Hyderabad,April,2016,1127738
domestic,Hyderabad,May,2016,1287181
domestic,Hyderabad,June,2016,12032661
domestic,Hyderabad,July,2016,1096754
domestic,Hyderabad,August,2016,1061137
domestic,Hyderabad,September,2016,832987
domestic,Hyderabad,October,2016,901960
domestic,Hyderabad,November,2016,909733
domestic,Hyderabad,December,2016,1225502
domestic,Hyderabad,January,2017,1924695
domestic,Hyderabad,February,2017,1886698
domestic,Hyderabad,March,2017,1783903
domestic,Hyderabad,April,2017,2366793
domestic,Hyderabad,May,2017,2266793
domestic,Hyderabad,June,2017,2007060
domestic,Hyderabad,July,2017,1890870
domestic,Hyderabad,August,2017,1976980
domestic,Hyderabad,September,2017,2011280
domestic,Hyderabad,October,2017,2202316
domestic,Hyderabad,November,2017,1971438
domestic,Hyderabad,December,2017,4871416
domestic,Hyderabad,January,2018,1978396
domestic,Hyderabad,February,2018,1365837
domestic,Hyderabad,March,2018,1415938
domestic,Hyderabad,April,2018,1586375
domestic,Hyderabad,May,2018,1189492
domestic,Hyderabad,June,2018,1595067
domestic,Hyderabad,July,2018,1470042
domestic,Hyderabad,August,2018,1591470
domestic,Hyderabad,September,2018,1508086
domestic,Hyderabad,October,2018,2207478
domestic,Hyderabad,November,2018,1671320
domestic,Hyderabad,December,2018,1964150
domestic,Hyderabad,January,2019,1426500
domestic,Hyderabad,February,2019,983147
domestic,Hyderabad,March,2019,1009991
domestic,Hyderabad,April,2019,1045933
domestic,Hyderabad,May,2019,1305748
domestic,Hyderabad,June,2019,1262995
domestic,Hyderabad,July,2019,1094861
domestic,Hyderabad,August,2019,1121380
domestic,Hyderabad,September,2019,959930
domestic,Hyderabad,October,2019,1240643
domestic,Hyderabad,November,2019,1073665
domestic,Hyderabad,December,2019,1277569
foreign,Hyderabad,January,2016,15865
foreign,Hyderabad,February,2016,29646
foreign,Hyderabad,March,2016,13019
foreign,Hyderabad,April,2016,8402
foreign,Hyderabad,May,2016,8522
foreign,Hyderabad,June,2016,10284
foreign,Hyderabad,July,2016,17142
foreign,Hyderabad,August,2016,12842
foreign,Hyderabad,September,2016,9397
foreign,Hyderabad,October,2016,12808
foreign,Hyderabad,November,2016,8084
foreign,Hyderabad,December,2016,17620
foreign,Hyderabad,January,2017,19286
foreign,Hyderabad,February,2017,18097
foreign,Hyderabad,March,2017,13875
foreign,Hyderabad,April,2017,12996
foreign,Hyderabad,May,2017,12983
foreign,Hyderabad,June,2017,12486
foreign,Hyderabad,July,2017,18144
foreign,Hyderabad,August,2017,16985
foreign,Hyderabad,September,2017,27856
foreign,Hyderabad,October,2017,26368
foreign,Hyderabad,November,2017,29170
foreign,Hyderabad,December,2017,38933
foreign,Hyderabad,January,2018,35379
foreign,Hyderabad,February,2018,30414
foreign,Hyderabad,March,2018,27535
foreign,Hyderabad,April,2018,20830
foreign,Hyderabad,May,2018,21554
foreign,Hyderabad,June,2018,24677
foreign,Hyderabad,July,2018,17456
foreign,Hyderabad,August,2018,31217
foreign,Hyderabad,September,2018,22809
foreign,Hyderabad,October,2018,30072
foreign,Hyderabad,November,2018,23487
foreign,Hyderabad,December,2018,29358
foreign,Hyderabad,January,2019,35920
foreign,Hyderabad,February,2019,25621
foreign,Hyderabad,March,2019,21929
foreign,Hyderabad,April,2019,18267
foreign,Hyderabad,May,2019,17317
foreign,Hyderabad,June,2019,20077
foreign,Hyderabad,July,2019,27874
foreign,Hyderabad,August,2019,22725
foreign,Hyderabad,September,2019,34018
foreign,Hyderabad,October,2019,28706
foreign,Hyderabad,November,2019,32762
foreign,Hyderabad,December,2019,34084
domestic,Jagtial,January,2016,235490
domestic,Jagtial,February,2016,235490
domestic,Jagtial,March,2016,235490
domestic,Jagtial,April,2016,235490
domestic,Jagtial,May,2016,235490
domestic,Jagtial,June,2016,235490
domestic,Jagtial,July,2016,235490
domestic,Jagtial,August,2016,235490
domestic,Jagtial,September,2016,235490
domestic,Jagtial,October,2016,201249
domestic,Jagtial,November,2016,214534
domestic,Jagtial,December,2016,207294
domestic,Jagtial,January,2017,174477
domestic,Jagtial,February,2017,159659
domestic,Jagtial,March,2017,323658
domestic,Jagtial,April,2017,330540
domestic,Jagtial,May,2017,468038
domestic,Jagtial,June,2017,418103
domestic,Jagtial,July,2017,247254
domestic,Jagtial,August,2017,386458
domestic,Jagtial,September,2017,143102
domestic,Jagtial,October,2017,248504
domestic,Jagtial,November,2017,348042
domestic,Jagtial,December,2017,393566
domestic,Jagtial,January,2018,614082
domestic,Jagtial,February,2018,349576
domestic,Jagtial,March,2018,416716
domestic,Jagtial,April,2018,372874
domestic,Jagtial,May,2018,641363
domestic,Jagtial,June,2018,182505
domestic,Jagtial,July,2018,182473
domestic,Jagtial,August,2018,272685
domestic,Jagtial,September,2018,273121
domestic,Jagtial,October,2018,138206
domestic,Jagtial,November,2018,277997
domestic,Jagtial,December,2018,231323
domestic,Jagtial,January,2019,211913
domestic,Jagtial,February,2019,215105
domestic,Jagtial,March,2019,194090
domestic,Jagtial,April,2019,447226
domestic,Jagtial,May,2019,500206
domestic,Jagtial,June,2019,235363
domestic,Jagtial,July,2019,157419
domestic,Jagtial,August,2019,151570
domestic,Jagtial,September,2019,157564
domestic,Jagtial,October,2019,165070
domestic,Jagtial,November,2019,277630
domestic,Jagtial,December,2019,372959
foreign,Jagtial,January,2019,0
foreign,Jagtial,February,2019,0
foreign,Jagtial,March,2019,0
foreign,Jagtial,April,2019,0
foreign,Jagtial,May,2019,0
foreign,Jagtial,June,2019,0
foreign,Jagtial,July,2019,0
foreign,Jagtial,August,2019,0
foreign,Jagtial,September,2019,0
foreign,Jagtial,October,2019,0
foreign,Jagtial,November,2019,0
foreign,Jagtial,December,2019,0
foreign,Jagtial,January,2018,0
foreign,Jagtial,February,2018,0
foreign,Jagtial,March,2018,0
foreign,Jagtial,April,2018,0
foreign,Jagtial,May,2018,0
foreign,Jagtial,June,2018,0
foreign,Jagtial,July,2018,0
foreign,Jagtial,August,2018,0
foreign,Jagtial,September,2018,0
foreign,Jagtial,October,2018,0
foreign,Jagtial,November,2018,0
foreign,Jagtial,December,2018,0
foreign,Jagtial,October,2016,0
foreign,Jagtial,November,2016,0
foreign,Jagtial,December,2016,0
foreign,Jagtial,January,2016,0
foreign,Jagtial,February,2016,0
foreign,Jagtial,March,2016,0
foreign,Jagtial,April,2016,0
foreign,Jagtial,May,2016,0
foreign,Jagtial,June,2016,0
foreign,Jagtial,July,2016,0
foreign,Jagtial,August,2016,0
foreign,Jagtial,September,2016,0
foreign,Jagtial,January,2017,0
foreign,Jagtial,February,2017,0
foreign,Jagtial,March,2017,0
foreign,Jagtial,April,2017,0
foreign,Jagtial,May,2017,0
foreign,Jagtial,June,2017,0
foreign,Jagtial,July,2017,0
foreign,Jagtial,August,2017,0
foreign,Jagtial,September,2017,0
foreign,Jagtial,October,2017,0
foreign,Jagtial,November,2017,0
foreign,Jagtial,December,2017,0
domestic,Jangaon,January,2016,17214
domestic,Jangaon,February,2016,17214
domestic,Jangaon,March,2016,17214
domestic,Jangaon,April,2016,17214
domestic,Jangaon,May,2016,17214
domestic,Jangaon,June,2016,17214
domestic,Jangaon,July,2016,17214
domestic,Jangaon,August,2016,17214
domestic,Jangaon,September,2016,17214
domestic,Jangaon,October,2016,14770
domestic,Jangaon,November,2016,13210
domestic,Jangaon,December,2016,12680
domestic,Jangaon,January,2017,12280
domestic,Jangaon,February,2017,12610
domestic,Jangaon,March,2017,8450
domestic,Jangaon,April,2017,9788
domestic,Jangaon,May,2017,12130
domestic,Jangaon,June,2017,13750
domestic,Jangaon,July,2017,16050
domestic,Jangaon,August,2017,15680
domestic,Jangaon,September,2017,15600
domestic,Jangaon,October,2017,16130
domestic,Jangaon,November,2017,16360
domestic,Jangaon,December,2017,16880
domestic,Jangaon,January,2018,17180
domestic,Jangaon,February,2018,18600
domestic,Jangaon,March,2018,17300
domestic,Jangaon,April,2018,18100
domestic,Jangaon,May,2018,19660
domestic,Jangaon,June,2018,23050
domestic,Jangaon,July,2018,26280
domestic,Jangaon,August,2018,26020
domestic,Jangaon,September,2018,28830
domestic,Jangaon,October,2018,29470
domestic,Jangaon,November,2018,29570
domestic,Jangaon,December,2018,36962
domestic,Jangaon,January,2019,28750
domestic,Jangaon,February,2019,28810
domestic,Jangaon,March,2019,27300
domestic,Jangaon,April,2019,26160
domestic,Jangaon,May,2019,26740
domestic,Jangaon,June,2019,25820
domestic,Jangaon,July,2019,24160
domestic,Jangaon,August,2019,27800
domestic,Jangaon,September,2019,28640
domestic,Jangaon,October,2019,27840
domestic,Jangaon,November,2019,28410
domestic,Jangaon,December,2019,28460
foreign,Jangaon,January,2019,0
foreign,Jangaon,February,2019,0
foreign,Jangaon,March,2019,0
foreign,Jangaon,April,2019,0
foreign,Jangaon,May,2019,0
foreign,Jangaon,June,2019,0
foreign,Jangaon,July,2019,0
foreign,Jangaon,August,2019,0
foreign,Jangaon,September,2019,0
foreign,Jangaon,October,2019,0
foreign,Jangaon,November,2019,0
foreign,Jangaon,December,2019,0
foreign,Jangaon,January,2018,0
foreign,Jangaon,February,2018,0
foreign,Jangaon,March,2018,0
foreign,Jangaon,April,2018,0
foreign,Jangaon,May,2018,0
foreign,Jangaon,June,2018,0
foreign,Jangaon,July,2018,0
foreign,Jangaon,August,2018,0
foreign,Jangaon,September,2018,0
foreign,Jangaon,October,2018,0
foreign,Jangaon,November,2018,0
foreign,Jangaon,December,2018,0
foreign,Jangaon,October,2016,0
foreign,Jangaon,December,2016,0
foreign,Jangaon,January,2016,0
foreign,Jangaon,February,2016,0
foreign,Jangaon,March,2016,0
foreign,Jangaon,April,2016,0
foreign,Jangaon,May,2016,0
foreign,Jangaon,June,2016,0
foreign,Jangaon,July,2016,0
foreign,Jangaon,August,2016,0
foreign,Jangaon,September,2016,0
foreign,Jangaon,January,2017,0
foreign,Jangaon,February,2017,0
foreign,Jangaon,March,2017,0
foreign,Jangaon,April,2017,0
foreign,Jangaon,May,2017,0
foreign,Jangaon,June,2017,0
foreign,Jangaon,July,2017,0
foreign,Jangaon,August,2017,0
foreign,Jangaon,September,2017,0
foreign,Jangaon,October,2017,0
foreign,Jangaon,November,2017,0
foreign,Jangaon,December,2017,0
foreign,Jangaon,November,2016,2
domestic,Jayashankar Bhoopalpally,January,2016,409018
domestic,Jayashankar Bhoopalpally,February,2016,409018
domestic,Jayashankar Bhoopalpally,March,2016,409018
domestic,Jayashankar Bhoopalpally,April,2016,409018
domestic,Jayashankar Bhoopalpally,May,2016,409018
domestic,Jayashankar Bhoopalpally,June,2016,409018
domestic,Jayashankar Bhoopalpally,July,2016,409018
domestic,Jayashankar Bhoopalpally,August,2016,409018
domestic,Jayashankar Bhoopalpally,September,2016,409018
domestic,Jayashankar Bhoopalpally,October,2016,76360
domestic,Jayashankar Bhoopalpally,November,2016,81580
domestic,Jayashankar Bhoopalpally,December,2016,85460
domestic,Jayashankar Bhoopalpally,January,2017,96560
domestic,Jayashankar Bhoopalpally,February,2017,96850
domestic,Jayashankar Bhoopalpally,March,2017,81400
domestic,Jayashankar Bhoopalpally,April,2017,90700
domestic,Jayashankar Bhoopalpally,May,2017,91150
domestic,Jayashankar Bhoopalpally,June,2017,93650
domestic,Jayashankar Bhoopalpally,July,2017,94700
domestic,Jayashankar Bhoopalpally,August,2017,118350
domestic,Jayashankar Bhoopalpally,September,2017,112600
domestic,Jayashankar Bhoopalpally,October,2017,115250
domestic,Jayashankar Bhoopalpally,November,2017,116800
domestic,Jayashankar Bhoopalpally,December,2017,723000
domestic,Jayashankar Bhoopalpally,January,2018,6519850
domestic,Jayashankar Bhoopalpally,February,2018,8626250
domestic,Jayashankar Bhoopalpally,March,2018,146150
domestic,Jayashankar Bhoopalpally,April,2018,149150
domestic,Jayashankar Bhoopalpally,May,2018,152050
domestic,Jayashankar Bhoopalpally,June,2018,159400
domestic,Jayashankar Bhoopalpally,July,2018,128550
domestic,Jayashankar Bhoopalpally,August,2018,184700
domestic,Jayashankar Bhoopalpally,September,2018,192300
domestic,Jayashankar Bhoopalpally,October,2018,195400
domestic,Jayashankar Bhoopalpally,November,2018,196500
domestic,Jayashankar Bhoopalpally,December,2018,245625
domestic,Jayashankar Bhoopalpally,January,2019,197430
domestic,Jayashankar Bhoopalpally,February,2019,33500
domestic,Jayashankar Bhoopalpally,March,2019,37500
domestic,Jayashankar Bhoopalpally,April,2019,38500
domestic,Jayashankar Bhoopalpally,May,2019,30800
domestic,Jayashankar Bhoopalpally,June,2019,40500
domestic,Jayashankar Bhoopalpally,July,2019,45500
domestic,Jayashankar Bhoopalpally,August,2019,45000
domestic,Jayashankar Bhoopalpally,September,2019,50500
domestic,Jayashankar Bhoopalpally,October,2019,46000
domestic,Jayashankar Bhoopalpally,November,2019,51500
domestic,Jayashankar Bhoopalpally,December,2019,45800
foreign,Jayashankar Bhoopalpally,February,2019,0
foreign,Jayashankar Bhoopalpally,March,2019,0
foreign,Jayashankar Bhoopalpally,April,2019,0
foreign,Jayashankar Bhoopalpally,May,2019,0
foreign,Jayashankar Bhoopalpally,June,2019,0
foreign,Jayashankar Bhoopalpally,July,2019,0
foreign,Jayashankar Bhoopalpally,August,2019,0
foreign,Jayashankar Bhoopalpally,September,2019,0
foreign,Jayashankar Bhoopalpally,October,2019,0
foreign,Jayashankar Bhoopalpally,November,2019,0
foreign,Jayashankar Bhoopalpally,December,2019,0
foreign,Jayashankar Bhoopalpally,January,2016,32
foreign,Jayashankar Bhoopalpally,February,2016,32
foreign,Jayashankar Bhoopalpally,March,2016,32
foreign,Jayashankar Bhoopalpally,April,2016,32
foreign,Jayashankar Bhoopalpally,May,2016,32
foreign,Jayashankar Bhoopalpally,June,2016,32
foreign,Jayashankar Bhoopalpally,July,2016,32
foreign,Jayashankar Bhoopalpally,August,2016,32
foreign,Jayashankar Bhoopalpally,September,2016,32
foreign,Jayashankar Bhoopalpally,October,2016,24
foreign,Jayashankar Bhoopalpally,November,2016,22
foreign,Jayashankar Bhoopalpally,December,2016,40
foreign,Jayashankar Bhoopalpally,January,2017,85
foreign,Jayashankar Bhoopalpally,February,2017,38
foreign,Jayashankar Bhoopalpally,March,2017,35
foreign,Jayashankar Bhoopalpally,April,2017,36
foreign,Jayashankar Bhoopalpally,May,2017,40
foreign,Jayashankar Bhoopalpally,June,2017,35
foreign,Jayashankar Bhoopalpally,July,2017,42
foreign,Jayashankar Bhoopalpally,August,2017,45
foreign,Jayashankar Bhoopalpally,September,2017,56
foreign,Jayashankar Bhoopalpally,October,2017,55
foreign,Jayashankar Bhoopalpally,November,2017,58
foreign,Jayashankar Bhoopalpally,December,2017,57
foreign,Jayashankar Bhoopalpally,January,2018,50
foreign,Jayashankar Bhoopalpally,February,2018,60
foreign,Jayashankar Bhoopalpally,March,2018,70
foreign,Jayashankar Bhoopalpally,April,2018,45
foreign,Jayashankar Bhoopalpally,May,2018,40
foreign,Jayashankar Bhoopalpally,June,2018,35
foreign,Jayashankar Bhoopalpally,July,2018,40
foreign,Jayashankar Bhoopalpally,August,2018,35
foreign,Jayashankar Bhoopalpally,September,2018,40
foreign,Jayashankar Bhoopalpally,October,2018,40
foreign,Jayashankar Bhoopalpally,November,2018,40
foreign,Jayashankar Bhoopalpally,December,2018,44
foreign,Jayashankar Bhoopalpally,January,2019,45
domestic,Jogulamba Gadwal,January,2016,141945
domestic,Jogulamba Gadwal,February,2016,141945
domestic,Jogulamba Gadwal,March,2016,141945
domestic,Jogulamba Gadwal,April,2016,141945
domestic,Jogulamba Gadwal,May,2016,141945
domestic,Jogulamba Gadwal,June,2016,141945
domestic,Jogulamba Gadwal,July,2016,141945
domestic,Jogulamba Gadwal,August,2016,141945
domestic,Jogulamba Gadwal,September,2016,141945
domestic,Jogulamba Gadwal,October,2016,152898
domestic,Jogulamba Gadwal,November,2016,188170
domestic,Jogulamba Gadwal,December,2016,182333
domestic,Jogulamba Gadwal,January,2017,214887
domestic,Jogulamba Gadwal,February,2017,481110
domestic,Jogulamba Gadwal,March,2017,155013
domestic,Jogulamba Gadwal,April,2017,131426
domestic,Jogulamba Gadwal,May,2017,131426
domestic,Jogulamba Gadwal,June,2017,160182
domestic,Jogulamba Gadwal,July,2017,160182
domestic,Jogulamba Gadwal,August,2017,131485
domestic,Jogulamba Gadwal,September,2017,123733
domestic,Jogulamba Gadwal,October,2017,152898
domestic,Jogulamba Gadwal,November,2017,188170
domestic,Jogulamba Gadwal,December,2017,214887
domestic,Jogulamba Gadwal,January,2018,146441
domestic,Jogulamba Gadwal,February,2018,481110
domestic,Jogulamba Gadwal,March,2018,155013
domestic,Jogulamba Gadwal,April,2018,138673
domestic,Jogulamba Gadwal,May,2018,131426
domestic,Jogulamba Gadwal,June,2018,160182
domestic,Jogulamba Gadwal,July,2018,114951
domestic,Jogulamba Gadwal,August,2018,123733
domestic,Jogulamba Gadwal,September,2018,121710
domestic,Jogulamba Gadwal,October,2018,152898
domestic,Jogulamba Gadwal,November,2018,128075
domestic,Jogulamba Gadwal,December,2018,182333
domestic,Jogulamba Gadwal,January,2019,146441
domestic,Jogulamba Gadwal,February,2019,481110
domestic,Jogulamba Gadwal,March,2019,155013
domestic,Jogulamba Gadwal,April,2019,82334
domestic,Jogulamba Gadwal,May,2019,154609
domestic,Jogulamba Gadwal,June,2019,155013
domestic,Jogulamba Gadwal,July,2019,114951
domestic,Jogulamba Gadwal,August,2019,123733
domestic,Jogulamba Gadwal,September,2019,131485
domestic,Jogulamba Gadwal,October,2019,152898
domestic,Jogulamba Gadwal,November,2019,128075
domestic,Jogulamba Gadwal,December,2019,182333
foreign,Jogulamba Gadwal,January,2016,24
foreign,Jogulamba Gadwal,February,2016,24
foreign,Jogulamba Gadwal,March,2016,24
foreign,Jogulamba Gadwal,April,2016,24
foreign,Jogulamba Gadwal,May,2016,24
foreign,Jogulamba Gadwal,June,2016,24
foreign,Jogulamba Gadwal,July,2016,24
foreign,Jogulamba Gadwal,August,2016,24
foreign,Jogulamba Gadwal,September,2016,24
foreign,Jogulamba Gadwal,October,2016,13
foreign,Jogulamba Gadwal,November,2016,21
foreign,Jogulamba Gadwal,December,2016,11
foreign,Jogulamba Gadwal,January,2017,20
foreign,Jogulamba Gadwal,February,2017,16
foreign,Jogulamba Gadwal,March,2017,32
foreign,Jogulamba Gadwal,April,2017,29
foreign,Jogulamba Gadwal,May,2017,31
foreign,Jogulamba Gadwal,June,2017,32
foreign,Jogulamba Gadwal,July,2017,34
foreign,Jogulamba Gadwal,August,2017,25
foreign,Jogulamba Gadwal,September,2017,42
foreign,Jogulamba Gadwal,October,2017,13
foreign,Jogulamba Gadwal,November,2017,21
foreign,Jogulamba Gadwal,December,2017,10
foreign,Jogulamba Gadwal,January,2018,36
foreign,Jogulamba Gadwal,February,2018,6
foreign,Jogulamba Gadwal,March,2018,22
foreign,Jogulamba Gadwal,April,2018,15
foreign,Jogulamba Gadwal,May,2018,19
foreign,Jogulamba Gadwal,June,2018,19
foreign,Jogulamba Gadwal,July,2018,37
foreign,Jogulamba Gadwal,August,2018,42
foreign,Jogulamba Gadwal,September,2018,35
foreign,Jogulamba Gadwal,October,2018,13
foreign,Jogulamba Gadwal,November,2018,45
foreign,Jogulamba Gadwal,December,2018,11
foreign,Jogulamba Gadwal,January,2019,36
foreign,Jogulamba Gadwal,February,2019,6
foreign,Jogulamba Gadwal,March,2019,22
foreign,Jogulamba Gadwal,April,2019,16
foreign,Jogulamba Gadwal,May,2019,20
foreign,Jogulamba Gadwal,June,2019,22
foreign,Jogulamba Gadwal,July,2019,37
foreign,Jogulamba Gadwal,August,2019,42
